"","country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"1","Afghanistan","17 Dec 2020",154767,49621,32.1,0.4,0.13
"2","Albania","18 Feb 2021",428654,96838,22.6,15,3.4
"3","Algeria","2 Nov 2020",230553,58574,25.4,0.53,0.13
"4","Andorra","23 Feb 2022",300307,37958,12.6,387,49
"5","Angola","2 Feb 2021",399228,20981,5.3,1.3,0.067
"6","Antigua and Barbuda","6 Mar 2021",15268,832,5.4,15.9,0.86
"7","Argentina","16 Apr 2022",35716069,9060495,25.4,78.3,20
"8","Armenia","29 May 2022",3099602,422963,13.6,105,14.3
"9","Australia","11 Jul 2022",74747685,8511844,11.4,298,33.9
"10","Austria","10 Jul 2022",191372091,4573219,2.4,2150,51.4
"11","Azerbaijan","11 May 2022",6838458,792638,11.6,69.1,8
"12","Bahamas","6 Jul 2022",243530,36159,14.8,63.2,9.4
"13","Bahrain","7 Jul 2022",10065050,636294,6.3,641,40.5
"14","Bangladesh","24 Jul 2021",7417714,1151644,15.5,4.5,0.7
"15","Barbados","8 Jul 2022",710449,85881,12.1,248,29.9
"16","Belarus","9 May 2022",13217569,982809,7.4,139,10.4
"17","Belgium","4 Jul 2022",34555871,4265296,12.3,300,37
"18","Belize","8 Jun 2022",572900,60694,10.6,140,14.9
"19","Benin","4 May 2021",595112,7884,1.3,5.1,0.067
"20","Bhutan","28 Feb 2022",1736168,12702,0.73,234,1.71
"21","Bolivia","5 Jun 2022",4358669,910228,20.9,38.1,8
"22","Bosnia and Herzegovina","1 Jul 2022",1792147,378797,21.1,52.4,11.1
"23","Botswana","11 Jan 2022",2026898,232432,11.5,89.9,10.3
"24","Brazil","19 Feb 2021",23561497,10081676,42.8,11.2,4.8
"25","Brunei","2 Aug 2021",153804,338,0.22,33.5,0.074
"26","Bulgaria","10 Jul 2022",10143101,1178189,11.6,146,17
"27","Burkina Faso","4 Mar 2021",158777,12123,7.6,0.76,0.058
"28","Burundi","5 Jan 2021",90019,884,0.98,0.76,0.0074
"29","Cambodia","1 Aug 2021",1812706,77914,4.3,11.2,0.48
"30","Cameroon","18 Feb 2021",942685,32681,3.5,3.6,0.12
"31","Canada","2 Jul 2022",62909878,3953490,6.3,166,10.4
"32","Chad","2 Mar 2021",99027,4020,4.1,0.72,0.029
"33","Chile","10 Jul 2022",41049389,4084308,9.9,215,21.4
"34","China[c]","31 Jul 2020",1.6e+08,87655,0.055,11.1,0.0061
"35","Colombia","7 Jul 2022",35662857,6198848,17.4,73.9,12.8
